State Name,District Name,GENERAL Current Population,GENERAL Covered Population,Minority Current Population,Minority Covered Population,Total Current Population,Total Covered Population,gcg,mcm,tct
ARUNACHAL PRADESH,LOWER SUBANSIRI,976.0,505.0,47065.0,24940.0,48041.0,25445.0,0.5174180327868853,0.5299054499096993,0.5296517557919277
ARUNACHAL PRADESH,PAPUM PARE,725.0,432.0,66921.0,42169.0,67646.0,42601.0,0.5958620689655172,0.6301310500440819,0.6297637702155338
ARUNACHAL PRADESH,TAWANG,0.0,0.0,34215.0,22432.0,34215.0,22432.0,,0.6556188806079205,0.6556188806079205
ARUNACHAL PRADESH,TIRAP,0.0,0.0,95083.0,79610.0,95083.0,79610.0,,0.8372684917387966,0.8372684917387966
ARUNACHAL PRADESH,UPPER SIANG,1557.0,1241.0,35836.0,24279.0,37393.0,25520.0,0.7970456005138086,0.6775030695390111,0.6824806782018025
ARUNACHAL PRADESH,UPPER SUBANSIRI,529.0,529.0,43736.0,26131.0,44265.0,26660.0,1.0,0.5974711907810499,0.602281712413871
ARUNACHAL PRADESH,WEST KAMENG,27547.0,17850.0,47617.0,36151.0,75164.0,54001.0,0.6479834464733002,0.7592036457567676,0.7184423394178064
ARUNACHAL PRADESH,WEST SIANG,1.0,0.0,92678.0,66482.0,92679.0,66482.0,0.0,0.7173439219663782,0.7173361818750742
ASSAM,BAKSHA,585541.0,410547.0,454075.0,325172.0,1039616.0,735719.0,0.701141337668925,0.7161195837692012,0.7076834138758926
ASSAM,BARPETA,1219481.0,1007806.0,120921.0,111280.0,1340402.0,1119086.0,0.8264220598762916,0.9202702590947809,0.8348883394683088
ASSAM,BONGAIGAON,413344.0,370694.0,52577.0,44547.0,465921.0,415241.0,0.8968171789115119,0.8472716206706354,0.8912261949987229
ASSAM,CACHAR,1103048.0,1019541.0,314082.0,279193.0,1417130.0,1298734.0,0.9242943190142224,0.8889175438261345,0.9164536775031225
ASSAM,CHIRANG,342360.0,217950.0,238975.0,167390.0,581335.0,385340.0,0.6366105853487557,0.7004498378491474,0.6628536042041164
ASSAM,DARRANG,743113.0,587090.0,78590.0,59688.0,821703.0,646778.0,0.7900413530647425,0.7594859396869831,0.7871189468700979
ASSAM,DHEMAJI,257137.0,205109.0,344514.0,273335.0,601651.0,478444.0,0.7976642801308252,0.7933930116047534,0.795218490453768
ASSAM,DHUBRI,1513351.0,1089527.0,101311.0,74738.0,1614662.0,1164265.0,0.719943357489439,0.7377086397330991,0.7210580294823313
ASSAM,DIBRUGARH,950989.0,526019.0,129781.0,72192.0,1080770.0,598211.0,0.5531283747761541,0.5562601613487337,0.5535044459043089
ASSAM,GOALPARA,566981.0,404527.0,283021.0,184826.0,850002.0,589353.0,0.7134754074651531,0.6530469470463323,0.6933548391650843
ASSAM,GOLAGHAT,808088.0,569996.0,166405.0,125252.0,974493.0,695248.0,0.7053637722624269,0.752693729154773,0.7134458636439667
ASSAM,HAILAKANDI,478657.0,359355.0,92777.0,69154.0,571434.0,428509.0,0.7507568049772593,0.7453787037735645,0.749883626105552
ASSAM,JORHAT,743171.0,493646.0,197217.0,131952.0,940388.0,625598.0,0.6642428189474563,0.6690701105888438,0.6652551925375483
ASSAM,KAMRUP,1402955.0,880907.0,371468.0,236807.0,1774423.0,1117714.0,0.6278939809188463,0.6374896357155933,0.6299027909354196
ASSAM,KARBI ANGLONG,98336.0,53215.0,710989.0,384627.0,809325.0,437842.0,0.5411548161405793,0.5409746142345381,0.5409965094368764
ASSAM,KARIMGANJ,886564.0,615981.0,205804.0,148998.0,1092368.0,764979.0,0.6947958635811966,0.7239800975685604,0.7002942231921844
ASSAM,KOKRAJHAR,482808.0,353094.0,320243.0,245424.0,803051.0,598518.0,0.731334194959487,0.7663680392701792,0.7453050927027051
ASSAM,LAKHIMPUR,566105.0,523042.0,365006.0,345675.0,931111.0,868717.0,0.9239310728575088,0.9470392267524369,0.9329897294737147
ASSAM,MARIGAON,555578.0,409948.0,276718.0,208603.0,832296.0,618551.0,0.7378765897857726,0.7538468766036182,0.743186318329056
